token_ids,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
1,0.454185028,0.148693725,0.393801568,0.172103327,0.618521128,0.256395732,0.575241936,0.032872403,0.393514511,0.101978204,0.273842309,0.077351002,0.33306712,0.375681906,0.488978996,0.61560189,0.538193887,0.224335715,0.516636858,0.36354194,0.248634949,0.476824043,0.331278952,0.449429698,0.449823709,0.327976302,0.174469466,0.489122762,0.350416323,0.657610842,1.054740482,0.313243863,0.560205988,0.337836443,0.31522942,0.174736138,0.278467195,0.24929578,0.23749395,0.571187239,0.24380766,0.59350915,0.022867916,0.241737628,0.230669663,0.60341767,0.09468753,0.260584398,0.542964437,0.005928749,0.068020359,0.534726473,0.342582284,0.490425579,0.421877032,0.444542297,0.552799535,0.025669097,0.010816043,0.2555985,0.133129524,0.522865477,0.290373075,0.505497838,0.39959493,0.216393335,0.329017798,0.177139783,0.192024708,0.362731479,0.382751719,0.302972206,0.07265271,0.335920461,0.521016791,0.444873418,0.611818726,0.357557848,0.61437325,0.372027933,0.039211432,0.035598608,0.460391292,0.247756504,0.870443004,0.822002746,0.228262408,0.054350509,0.017294177,0.161016351,0.329629994,0.484930298,0.405310998,0.186231648,0.429760789,0.19659152,0.017482573,0.536804871,0.282477342,0.6041496
2,0.454185028,0.148693725,0.393801568,0.172103327,0.618521128,0.256395732,0.575241936,0.032872403,0.393514511,0.101978204,0.273842309,0.077351002,0.33306712,0.375681906,0.488978996,0.61560189,0.538193887,0.224335715,0.516636858,0.36354194,0.248634949,0.476824043,0.331278952,0.449429698,0.449823709,0.327976302,0.174469466,0.489122762,0.350416323,0.657610842,1.054740482,0.313243863,0.560205988,0.337836443,0.31522942,0.174736138,0.278467195,0.24929578,0.23749395,0.571187239,0.24380766,0.59350915,0.022867916,0.241737628,0.230669663,0.60341767,0.09468753,0.260584398,0.542964437,0.005928749,0.068020359,0.534726473,0.342582284,0.490425579,0.421877032,0.444542297,0.552799535,0.025669097,0.010816043,0.2555985,0.133129524,0.522865477,0.290373075,0.505497838,0.39959493,0.216393335,0.329017798,0.177139783,0.192024708,0.362731479,0.382751719,0.302972206,0.07265271,0.335920461,0.521016791,0.444873418,0.611818726,0.357557848,0.61437325,0.372027933,0.039211432,0.035598608,0.460391292,0.247756504,0.870443004,0.822002746,0.228262408,0.054350509,0.017294177,0.161016351,0.329629994,0.484930298,0.405310998,0.186231648,0.429760789,0.19659152,0.017482573,0.536804871,0.282477342,0.6041496
3,0.454185028,0.148693725,0.393801568,0.172103327,0.618521128,0.256395732,0.575241936,0.032872403,0.393514511,0.101978204,0.273842309,0.077351002,0.33306712,0.375681906,0.488978996,0.61560189,0.538193887,0.224335715,0.516636858,0.36354194,0.248634949,0.476824043,0.331278952,0.449429698,0.449823709,0.327976302,0.174469466,0.489122762,0.350416323,0.657610842,1.054740482,0.313243863,0.560205988,0.337836443,0.31522942,0.174736138,0.278467195,0.24929578,0.23749395,0.571187239,0.24380766,0.59350915,0.022867916,0.241737628,0.230669663,0.60341767,0.09468753,0.260584398,0.542964437,0.005928749,0.068020359,0.534726473,0.342582284,0.490425579,0.421877032,0.444542297,0.552799535,0.025669097,0.010816043,0.2555985,0.133129524,0.522865477,0.290373075,0.505497838,0.39959493,0.216393335,0.329017798,0.177139783,0.192024708,0.362731479,0.382751719,0.302972206,0.07265271,0.335920461,0.521016791,0.444873418,0.611818726,0.357557848,0.61437325,0.372027933,0.039211432,0.035598608,0.460391292,0.247756504,0.870443004,0.822002746,0.228262408,0.054350509,0.017294177,0.161016351,0.329629994,0.484930298,0.405310998,0.186231648,0.429760789,0.19659152,0.017482573,0.536804871,0.282477342,0.6041496
4,0.454185028,0.148693725,0.393801568,0.172103327,0.618521128,0.256395732,0.575241936,0.032872403,0.393514511,0.101978204,0.273842309,0.077351002,0.33306712,0.375681906,0.488978996,0.61560189,0.538193887,0.224335715,0.516636858,0.36354194,0.248634949,0.476824043,0.331278952,0.449429698,0.449823709,0.327976302,0.174469466,0.489122762,0.350416323,0.657610842,1.054740482,0.313243863,0.560205988,0.337836443,0.31522942,0.174736138,0.278467195,0.24929578,0.23749395,0.571187239,0.24380766,0.59350915,0.022867916,0.241737628,0.230669663,0.60341767,0.09468753,0.260584398,0.542964437,0.005928749,0.068020359,0.534726473,0.342582284,0.490425579,0.421877032,0.444542297,0.552799535,0.025669097,0.010816043,0.2555985,0.133129524,0.522865477,0.290373075,0.505497838,0.39959493,0.216393335,0.329017798,0.177139783,0.192024708,0.362731479,0.382751719,0.302972206,0.07265271,0.335920461,0.521016791,0.444873418,0.611818726,0.357557848,0.61437325,0.372027933,0.039211432,0.035598608,0.460391292,0.247756504,0.870443004,0.822002746,0.228262408,0.054350509,0.017294177,0.161016351,0.329629994,0.484930298,0.405310998,0.186231648,0.429760789,0.19659152,0.017482573,0.536804871,0.282477342,0.6041496
5,2.266742049,2.312327173,2.279912832,1.967544001,1.859117973,1.474011395,2.657849261,2.258648814,1.67121774,1.69026113,3.213759666,3.306039515,2.261682087,1.229839715,2.274850453,2.672582306,1.814977861,2.145834382,1.728834226,2.100943981,1.927641446,2.890174404,1.850451346,1.413041187,2.49221147,2.740290107,2.723270204,1.987166514,2.820451067,3.006014945,3.465410965,2.273215534,1.001740687,1.868619483,3.528598391,1.87324953,2.44517472,1.843049809,2.00912429,3.80439359,2.431670367,2.771678046,2.836468021,1.436640368,1.334547494,2.67358209,1.977038768,2.255839841,1.194933758,1.549801414,2.603047931,2.211533467,2.602118416,3.512964226,0.796801615,1.346394176,3.010141608,1.811997865,3.685734487,1.046392553,1.67303486,1.801108003,2.944245832,2.510481105,3.341960171,3.007178716,1.400275368,2.47882747,2.325446919,2.146313684,1.759712913,1.727287983,1.708383419,2.832601737,2.759978877,3.842840898,2.834297022,1.73340925,2.027330927,1.75239353,2.071089977,4.357405191,2.010032704,0.900345434,3.210535115,2.210002013,2.568563666,2.35130449,2.515437457,2.008549797,1.544957906,1.614448361,1.657459055,2.73360224,0.816762047,2.762330362,1.506849754,2.900818056,2.07258249,2.802276117
6,2.504605637,2.603546333,2.009842459,2.486392543,2.475072748,2.046346706,3.027457735,2.524273726,2.22683111,1.781432243,3.123577805,2.98475534,1.385047915,1.55062978,2.637064487,4.708877529,2.77710008,2.582191146,2.753009281,2.205049915,2.432111456,2.597282296,1.275192663,1.310144881,3.115619839,3.674546153,3.61776045,2.113495537,2.831139993,3.025452872,2.63466385,1.770524922,1.271484192,2.094746063,3.538261118,2.80320495,2.56314695,1.942591068,1.936721309,4.355761463,2.894858713,2.508564248,2.41859823,1.527106415,1.77440809,3.207989087,1.520682298,2.080760451,1.432482019,1.793108914,2.475291391,2.355400254,2.834182485,3.760955086,0.902729046,1.707296247,2.105997408,2.710991549,2.400007137,1.204040749,1.566856351,2.427806182,3.473935613,2.448733017,3.303229125,2.445392034,0.987788333,1.919427932,2.021733582,2.815274947,2.005646559,2.063571686,1.752425806,2.659782056,3.584919934,3.476784721,2.420408976,1.896603051,1.886362909,1.24256902,2.20746905,3.10245078,1.615592877,0.932919047,3.063107203,2.85589781,3.746462667,2.005318791,2.269686349,1.947929127,1.210295883,2.495892516,2.035982752,2.04231269,1.348563873,1.788472689,1.027215316,3.170612992,1.706334859,2.031745965
7,20.82391935,22.58231854,9.063746198,4.913250573,26.10363223,11.60925069,4.869102864,14.0448065,10.31560688,6.820915894,7.190548622,17.17590907,5.424516102,10.6772716,8.133273427,28.08493219,8.266184866,9.833554412,7.064406069,12.29472482,4.400746087,6.100696201,6.468340069,16.76065373,9.925411679,6.653918802,9.077597755,8.011650978,36.38465811,7.628790048,18.45597831,9.333309325,3.363475407,11.53393896,10.11228943,11.10525842,20.59047178,11.82114221,9.631481535,5.977558141,11.96665284,8.490350818,8.492083759,8.005016037,16.09641986,18.18546423,7.336666005,9.371825051,35.67561566,17.25357077,6.648481198,3.58692351,9.678256054,6.491702891,4.946156835,23.42315139,4.465196996,17.66370863,16.47474141,6.198857617,5.664418113,11.17923689,9.68482305,7.800082955,21.12339478,6.185964345,12.18282799,22.56213739,12.74562644,5.15954685,6.611724352,6.744428778,14.62649173,4.884280076,7.486044415,7.329064435,8.123374413,7.969985234,7.828670215,5.486793703,14.90093382,5.858374026,10.79084266,4.271828619,7.058540454,15.42340401,5.883462856,14.77705173,17.47025325,11.16615774,5.68713714,7.73630687,5.511988853,11.30413956,16.29004663,4.438317059,13.60647624,22.46401363,6.945855569,21.15886938
8,2.960373568,4.041662173,2.166214226,2.028153399,1.827418508,1.950350621,3.187724948,2.632012339,2.509435514,2.371341932,3.069486449,3.204690099,1.287783707,1.588597646,3.261421033,3.981166035,2.576792996,2.59815805,2.287252537,2.146254069,1.763943996,2.393181429,1.303656007,1.278181922,3.054405263,3.162770076,3.152309704,1.814219021,3.038471127,2.303417017,2.974712796,1.798972166,1.273033906,2.029478394,3.227620893,2.168976366,2.07416509,1.865644375,2.546314359,4.024954126,3.247332193,3.118560571,3.5282661,2.26961235,1.457814726,3.098221575,2.65499448,2.604526966,1.335088512,1.453481289,2.12929299,2.29193265,2.658948449,3.194092607,0.917725754,1.788216864,2.226938889,2.126234615,2.787003363,1.041170829,1.686829132,1.865691636,3.225222407,3.126928603,3.322043548,2.621879395,1.726770509,2.422906671,2.325817585,2.256437454,1.762281897,1.838996364,1.648924803,2.790402222,3.628105438,2.70223893,3.332339317,1.668449517,1.978418457,1.158224359,2.208583775,2.642576615,2.336666448,0.859214963,3.448997061,2.368691537,2.185820305,2.298186969,2.477193602,1.8811042,1.824781762,1.995206867,1.771559538,2.655013786,1.179615691,2.270752095,1.477015811,3.058700814,2.77699911,2.383809951
9,11.73293635,10.66707347,5.681927374,7.540471044,9.306748963,12.50614748,6.169691656,9.466771709,7.815740457,11.40080936,8.545137239,15.54339661,3.184061133,13.81005523,6.856075103,10.45729244,9.464068144,6.3945487,4.395956385,12.45371719,4.123978122,5.197350073,9.205577333,12.250428,4.966294001,5.701761873,6.26845133,5.180418775,21.42865861,4.465689927,17.1378509,7.259562704,3.95670084,6.417019988,17.5676989,10.41751676,16.37037172,7.862489381,16.7362277,4.66719653,5.845950598,6.251458601,5.044490326,5.827069606,6.33412496,16.12352135,5.414469321,11.06773521,9.260339131,14.78394456,6.707909091,4.491021057,4.655553945,6.300236291,5.755443776,10.25472936,4.872522289,11.32677422,13.68685014,2.881642538,8.548483172,11.58301338,2.728258952,5.807893715,14.43454553,11.61307651,6.757639335,10.34879856,8.411461833,4.059156154,3.355383809,4.18990468,9.099225036,9.087086533,15.0523054,4.970793678,5.14245425,5.606119192,5.607322264,4.661322147,14.40704349,7.124860486,6.378689145,4.043723855,8.378369012,11.47728203,4.750541129,7.253458093,8.027641301,6.081852973,4.879268298,3.972474841,4.912244434,7.050522688,9.401634798,5.009234274,5.631672286,17.27609904,3.887341948,12.17204793
10,2.697845565,5.280332489,2.507730202,3.942514279,2.653350771,2.642105073,3.165977978,2.192413924,2.209399974,1.63897005,3.255212504,3.800888596,2.205621452,1.739274873,3.22161496,2.980407658,2.502999684,2.781802074,2.827408374,2.214338611,2.005674772,3.115121446,1.741703559,1.953425994,3.620252758,2.536094249,3.867176899,1.471505403,4.639027581,3.420257444,3.785787359,1.877668431,1.371852464,2.080190768,4.749319192,3.140688245,3.208457588,1.784985328,3.569643411,2.941836629,3.405966399,2.098611314,2.732440432,2.035312018,2.881451892,5.239290581,3.156545385,2.12094413,1.273397758,2.236352449,3.226036831,2.169274638,3.136105576,3.991859164,0.777999937,1.876426778,4.446796386,2.825461887,2.764221823,1.88010366,1.941602958,3.330798359,4.008193783,2.92891256,4.565451323,3.545035696,2.527459435,3.443003149,2.031504987,2.188646841,1.81705147,2.600286109,1.873570787,3.023698039,2.961554974,4.704567835,2.822544838,1.975606815,2.979379264,1.488231883,4.484710254,2.7641289,3.204276006,1.127333294,5.185305313,2.081256726,3.635891498,3.956128267,2.458008081,2.30290881,1.781406335,2.190388044,2.102846273,3.52552484,1.456532757,2.989717324,2.210622268,4.516255214,1.81913352,2.890264329
